
amount,blockNumber,blockTimestamp,tokenAddress,transactionHash,from.addresses,to.addresses
1.670862419810643e+20,16991142,2023-04-06T17:51:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x9fb656deab02fc8e4d0fd3760a912e4f2d81edc3d766a4cf15fa178017dd799d,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x317e62d079d723e80e4e17c3556cebfb17e0098d
2.794707262696133e+20,16991105,2023-04-06T17:44:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x3fe45f2d5bd05a65741ee3fb476ca39a0f4e1ea2d512b506c3d630ee7c0c1a45,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x808af82545a721c06d1fccebea915a6f5128bef9
2.201407856774618e+20,16990642,2023-04-06T16:08:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x326090f4544ee4f5e76169e348e62d3a137c4df7bc0f44a835f09b71fa212fc8,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xe6662ec7fc7c84231b29f0f0da6321673d100854
1.0669189525616396e+20,16990120,2023-04-06T14:21:35Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x03662dee8ffe3871b2a7191b5a471a03ded8cb1922de3e0202135f8fd9a57495,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x64f8e38e19c1b6992969dcd5769c149951018af1
3.776340754262283e+19,16989003,2023-04-06T10:29:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xc584fe21636c8e63cf209f22e6b4b7f2d42dba49378f54b1eb410ac6ee3c9a8e,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x63d8551c73ce898f66530bad059f390584bc0922
4.843825183769624e+21,16988923,2023-04-06T10:12:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x930cd8eb15d737bd094bdffc410d81bc2cd8d9bc924287252f9383b74f265b67,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xbd72d16a2c0ac11365a7223224f5096b5d9084a8
6.129855658529528e+20,16988910,2023-04-06T10:10:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xbeec2e1b9fc5d217a4730ff72d0cb16351ecdb20d701829df1470efd8eccd39c,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xbc19d12ad43a92fead642e7763ba8ebeca4c3c9c
6.638369775626126e+21,16988744,2023-04-06T09:35:35Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x3bbf3161f8b6ccffe205eda4ad6c422846db33b82bdfcbf164e5842ef8856cfa,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x3a22107564513d257f79394c3e58eb8a0f54043c
9.203526624173587e+19,16988369,2023-04-06T08:15:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x859cd162ffcc67e6260b8e6d9219d0ff722c298fb50ea01bbd72062e69bbc3f4,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf
5.633709827375349e+19,16988266,2023-04-06T07:54:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x066d179fe2f028bc50d40ebe07f53c5e58ef5cdfa54687da6bd5b694feea8c23,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xcb1d177d7cb3a4985cf783fbd6cc42169f47b272
6.630979099621652e+20,16987986,2023-04-06T06:56:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x34d41247701f8450ed15e0c4432a0282d615b2828590fe1edbaf6e24ecd1eea6,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xef9a40f0ce782108233b6a5d8fef08c89b01a7bd
1.6441207769662877e+21,16987947,2023-04-06T06:48:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x429a4fa044eb813b1fc21e87be702774c86f6eb0dd57266749305f3c7f092178,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba
1.6441207769662877e+21,16987947,2023-04-06T06:48:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x429a4fa044eb813b1fc21e87be702774c86f6eb0dd57266749305f3c7f092178,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba
1.2842786356307873e+20,16987684,2023-04-06T05:53:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x34fc6a4935fe8dda8ba05ce130760d985f69b2f63efcdb7aa082d2cf5b65c63a,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x63e4b93d74200b5df21da3c896c0f6541b555932
1.6705778363429654e+20,16987240,2023-04-06T04:22:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x7c31d8e6f29c36898ce1803d179c3e1489572a1e59eb451b54c7cd6bb06811fc,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x8615cd1b38907df2d718ea7a72960620f6b27639
4.29363893023228e+20,16986807,2023-04-06T02:54:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xeb5cdeb22df14bc388316cd2d3bed695c7be2edef8c9b0665a6dbfb51a05b4dd,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x28b7e2329712b3d812dcea736fe7a6305f9d74eb
2.4909329951523675e+20,16986665,2023-04-06T02:25:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xffb0090a6626fc9057b91e6ebc415971f24fe0f19e9b8583be526b77fcd26f8b,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xe49b82c3233602d68f51611a05b2ca2dd690c606
2.3144838918589322e+21,16986624,2023-04-06T02:17:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xbc459cc2894aa08dd50d47bf7333c047c1d608545fdb0fc9503b5ee751049925,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xbcbeac56eef250e8a4859be46c6cbfd93aae5d2f
8.489552742435702e+19,16986598,2023-04-06T02:11:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x6d10e8c6b014c249dd4925b9516eae439f8296d6d4e88361b13f048f8905a6dc,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x1e729218a0af5e3d4cd258dba55249373c09c3cc
